situation,clue,thought,polarity
My friends and I afford each other company . , they always leave me out . , I will always be alone . ,0
My friends and I afford each other company . , they are always busy . , I will always be alone . ,0
My friends and I afford each other company . , we would each be doing our own things . , that we would not have fun . ,0
My friends and I afford each other company . , we usually stay quiet when we are together . , that we would not have fun . ,0
My friends and I afford each other company . , we won't have anything to do . , that we would not have fun . ,0
My friends and I afford each other company . , I don't know how to socialize . , I will never be able to make friends . ,0
My friends and I afford each other company . , I'm too shy . , I will never be able to make friends . ,0
I take my little sister to the park to afford her some pleasurable time outside . , my mom accidentally sold it during one of her garage sales . , I will have to explain to her why her favorite toy is no longer there with us . ,0
I take my little sister to the park to afford her some pleasurable time outside . , it was unfortunately  lost on our  last visit  . , I will have to explain to her why her favorite toy is no longer there with us . ,0
I take my little sister to the park to afford her some pleasurable time outside . , I accidentally forgot it at home . , I will have to explain to her why her favorite toy is no longer there with us . ,0
I take my little sister to the park to afford her some pleasurable time outside . , is too young to go to the park by herself  . , is something bad going to happen to her . ,0
I take my little sister to the park to afford her some pleasurable time outside . , the park is full of strangers . , is something bad going to happen to her . ,0
I take my little sister to the park to afford her some pleasurable time outside . , it's getting dark . , is something bad going to happen to her . ,0
I take my little sister to the park to afford her some pleasurable time outside . , it is not my job to do so . , I will be scolded by my mother . ,0
I take my little sister to the park to afford her some pleasurable time outside . , I have homework to do . , I will be scolded by my mother . ,0
I take my little sister to the park to afford her some pleasurable time outside . , there are no other kids to play with . , she will be bored . ,0
I take my little sister to the park to afford her some pleasurable time outside . , there are not many children's to play with her . , she will be bored . ,0
I take my little sister to the park to afford her some pleasurable time outside . , there are not many things to engage her there . , she will be bored . ,0
I take my little sister to the park to afford her some pleasurable time outside . , I should have watched her at home . , my mom will get angry . ,0
I take my little sister to the park to afford her some pleasurable time outside . , I should have finished my homework first . , my mom will get angry . ,0
I take my little sister to the park to afford her some pleasurable time outside . , I promised her to tidy up my room . , my mom will get angry . ,0
My best friend agreed to go with me to the movies . , I don't like that movie . , I will be bored . ,0
My best friend agreed to go with me to the movies . , I don't like the movie she wanted to watch . , I will be bored . ,0
My best friend agreed to go with me to the movies . , they wanted to see a different movie . , she would rather have gone with her other friends . ,0
My best friend agreed to go with me to the movies . , she was planning to go with them before I asked her . , she would rather have gone with her other friends . ,0
My best friend agreed to go with me to the movies . , she doesn't like the same type of movies as me . , she will be bored . ,0
My best friend agreed to go with me to the movies . , the movie is not her type . , she will be bored . ,0
My best friend agreed to go with me to the movies . , she doesn't like that kind of movie . , she will not have a good time . ,0
I agree to go on a date with the person I met at the bar . , I don't know them very well . , I will be stood up . ,0
I agree to go on a date with the person I met at the bar . , I don't know the person well . , I will be stood up . ,0
I agree to go on a date with the person I met at the bar . , I had too many drinks . , it will be a disaster . ,0
I agree to go on a date with the person I met at the bar . , we have nothing in common . , it will be a disaster . ,0
I agree to go on a date with the person I met at the bar . , I don't really like him . , I'll be going home alone . ,0
I agree to go on a date with the person I met at the bar . , I didn't like the person that much . , I'll be going home alone . ,0
I agree to go on a date with the person I met at the bar . , he was really creepy and I don't know him . , he may be a serial killer . ,0
I agree to go on a date with the person I met at the bar . , I know nothing about him . , he may be a serial killer . ,0
I agree to go on a date with the person I met at the bar . , I don't think we'll have much in common . , I'll be disappointed . ,0
I agree to go on a date with the person I met at the bar . , he seems a bit short for me . , I'll be disappointed . ,0
I agree to go on a date with the person I met at the bar . , he would probably turn out to be a jerk . , I'll be disappointed . ,0
My friends wanted to go to a haunted house and I agreed to go with them even though I'm scared of ghosts . , I'm scared of ghosts . , I will see a ghost . ,0
My friends wanted to go to a haunted house and I agreed to go with them even though I'm scared of ghosts . , I don't have the courage to back out . , I will see a ghost . ,0
My friends wanted to go to a haunted house and I agreed to go with them even though I'm scared of ghosts . , I always get scared easily . , I will be too scared to go through with it . ,0
My friends wanted to go to a haunted house and I agreed to go with them even though I'm scared of ghosts . , I don't like being scared . , I will be too scared to go through with it . ,0
My friends wanted to go to a haunted house and I agreed to go with them even though I'm scared of ghosts . , I'm really scared of ghosts . , I will be too scared to go through with it . ,0
My friends wanted to go to a haunted house and I agreed to go with them even though I'm scared of ghosts . , I don't want to see any ghosts . , I will have a heart attack from fear . ,0
My friends wanted to go to a haunted house and I agreed to go with them even though I'm scared of ghosts . , I don't do well with scary things . , I will have a heart attack from fear . ,0
My friends wanted to go to a haunted house and I agreed to go with them even though I'm scared of ghosts . , the last time I watch a horror movie I had a nightmare for a week  . , I will have a heart attack from fear . ,0
My friends wanted to go to a haunted house and I agreed to go with them even though I'm scared of ghosts . , it's my first time going to a haunted house . , I will get scared and scream . ,0
My friends wanted to go to a haunted house and I agreed to go with them even though I'm scared of ghosts . , I can't handle ghosts . , I will get scared and scream . ,0
My friends wanted to go to a haunted house and I agreed to go with them even though I'm scared of ghosts . , I'm really scared of ghosts . , I'm going to be so scared I'll pee my pants . ,0
My friends wanted to go to a haunted house and I agreed to go with them even though I'm scared of ghosts . , it's going to be my first time going to a haunted house . , I'm going to be so scared I'll pee my pants . ,0
My best friend and I have agreed to travel together to Japan next summer . , the trip is very expensive . , I will not have enough money . ,0
My best friend and I have agreed to travel together to Japan next summer . , I have not saved up enough . , I will not have enough money . ,0
My best friend and I have agreed to travel together to Japan next summer . , I can't afford it . , I will have to cancel the trip . ,0
My best friend and I have agreed to travel together to Japan next summer . , she can't afford it . , I will have to cancel the trip . ,0
My best friend and I have agreed to travel together to Japan next summer . , it is very expensive to travel there . , we may not be able to go because of money . ,0
My best friend and I have agreed to travel together to Japan next summer . , traveling to Japan is very expensive . , we may not be able to go because of money . ,0
My best friend and I have agreed to travel together to Japan next summer . , we both have busy schedules . , she may cancel or we may not be able to go . ,0
My best friend and I have agreed to travel together to Japan next summer . , travel plans often change . , she may cancel or we may not be able to go . ,0
My best friend and I have agreed to travel together to Japan next summer . , we live in different states . , she may cancel or we may not be able to go . ,0
My boss agreed to take me to the conference . , I am not confident enough . , I will be rejected . ,0
My boss agreed to take me to the conference . , I didn't have the required qualification . , I will be rejected . ,0
My boss agreed to take me to the conference . , he usually takes people who have worked for the company for a long time . , I will be rejected . ,0
My boss agreed to take me to the conference . , I'll be gone for a week . , I won't be able to work on my new project . ,0
My boss agreed to take me to the conference . , I will be  busy with the conference . , I won't be able to work on my new project . ,0
My boss agreed to take me to the conference . , I have to spend time  travelling . , I will miss  an important work deadline . ,0
My boss agreed to take me to the conference . , I have to take  time  off from work . , I will miss  an important work deadline . ,0
My boss agreed to take me to the conference . , I will be out of the office . , I will miss  an important work deadline . ,0
My boss agreed to take me to the conference . , I am new in this company . , I am not qualified to go . ,0
My boss agreed to take me to the conference . , I just joined the company . , I am not qualified to go . ,0
My boss agreed to take me to the conference . , I did not do anything to help with the conference . , I am not qualified to go . ,0
My boss agreed to take me to the conference . , I have to take care of my sick grandmother . , I won't be able to go . ,0
My boss agreed to take me to the conference . , I have too much work to do . , I won't be able to go . ,0
My boss is taking me out to lunch today to discuss my raise . , I have only been working here for two months . , he will say no . ,0
My boss is taking me out to lunch today to discuss my raise . , he has been avoiding me lately . , he is going to give me a bad news . ,0
My boss is taking me out to lunch today to discuss my raise . , I have only been working here for 3 months . , he is going to turn me down . ,0
My boss is taking me out to lunch today to discuss my raise . , I didn't get the last project done on time . , he is going to turn me down . ,0
My boss is taking me out to lunch today to discuss my raise . , I have only worked here for 3 months . , he will say no to my raise . ,0
My boss is taking me out to lunch today to discuss my raise . , I didn't do well in my last performance review . , he will say no to my raise . ,0
My boss is taking me out to lunch today to discuss my raise . , the company is not doing well . , he will say no to my raise . ,0
My boss is taking me out to lunch today to discuss my raise . , I've only been with the company for a few months . , he is going to tell me I'm not getting one . ,0
My boss is taking me out to lunch today to discuss my raise . , I didn't do as well as he wanted me to this past quarter . , he is going to tell me I'm not getting one . ,0
My boss agreed to take me on a business trip to Europe . , I have to arrange everything . , it will be very tiring and I will be very busy . ,0
My boss agreed to take me on a business trip to Europe . , it's my first business trip . , it will be very tiring and I will be very busy . ,0
My boss agreed to take me on a business trip to Europe . , I have to prepare for the trip . , it will be very tiring and I will be very busy . ,0
My boss agreed to take me on a business trip to Europe . , it's a great opportunity . , . ,0
My boss agreed to take me on a business trip to Europe . , it will be my first business trip . , . ,0
My boss agreed to take me on a business trip to Europe . , it is my first trip . , . ,0
My boss agreed to take me on a business trip to Europe . , I have aerophobia . , the plane will crash . ,0
My boss agreed to take me on a business trip to Europe . , I have a fear of flying . , the plane will crash . ,0
My boss agreed to take me on a business trip to Europe . , it's my first time flying . , the plane will crash . ,0
My boss agreed to take me on a business trip to Europe . , the company is tight on money . , I will have to fly economy class . ,0
My boss agreed to take me on a business trip to Europe . , I am new to the company . , I will have to fly economy class . ,0
My boss agreed to take me on a business trip to Europe . , he is tight on the company budget . , I will have to fly economy class . ,0
My boss agreed to take me on a business trip to Europe . , I haven't been on a plane before . , I will have to fly . ,0
My boss agreed to take me on a business trip to Europe . , I don't have a passport . , I will have to fly . ,0
I agreed to take my little sister to the mall . , she takes a long time to pick out clothes . , I will be late for my date . ,0
I agreed to take my little sister to the mall . , she will want to go to every store . , I will be late for my date . ,0
I agreed to take my little sister to the mall . , I don't like going to the mall . , I will be bored . ,0
I agreed to take my little sister to the mall . , I don't like shopping . , I will be bored . ,0
I agreed to take my little sister to the mall . , she is very spoiled . , she will never stop asking me to buy her things . ,0
I agreed to take my little sister to the mall . , she is very persuasive . , she will never stop asking me to buy her things . ,0
I agreed to take my little sister to the mall . , she is very clingy . , she will never leave me alone . ,0
I agreed to take my little sister to the mall . , she begged me so much . , she will never leave me alone . ,0
I agreed to take my little sister to the mall . , she is very annoying . , she will never leave me alone . ,0
I agreed to take my little sister to the mall . , she will want to buy everything she sees . , I will have to spend a lot of money . ,0
The boss will allow me access to the server room . , I'm not familiar with the network . , I will not be able to do my job . ,0
The boss will allow me access to the server room . , I am not  qualified  for the position . , I will not be able to do my job . ,0
The boss will allow me access to the server room . , I will be too nervous . , I will not be able to do my job . ,0
The boss will allow me access to the server room . , I'm not familiar with that area . , will break something . ,0
The boss will allow me access to the server room . , I'm not familiar with the server equipment . , will break something . ,0
The boss will allow me access to the server room . , it's my first time in there . , will break something . ,0
The boss will allow me access to the server room . , I'm not supposed to be in there . , I will get caught . ,0
The boss will allow me access to the server room . , I'm not authorized to be in there . , I will get caught . ,0
The boss will allow me access to the server room . , I'm new here . , I will be accused of something . ,0
The boss will allow me access to the server room . , I'm the new intern . , I will be accused of something . ,0
The boss will allow me access to the server room . , I'm not familiar with the equipment . , I will make a mess and break something . ,0
The boss will allow me access to the server room . , I have never been in a server room before . , I will make a mess and break something . ,0
I allow my boss to access my computer . , she will read my emails . , my privacy will be invaded . ,0
I allow my boss to access my computer . , my boss will be able to see all my personal files . , my privacy will be invaded . ,0
I allow my boss to access my computer . , he always tries to take credit for my work . , he will steal my ideas . ,0
I allow my boss to access my computer . , he is always taking credit for other people's work . , he will steal my ideas . ,0
I allow my boss to access my computer . , my boss is very curious . , my private files will be seen . ,0
I allow my boss to access my computer . , my boss will snoop through them . , my private files will be seen . ,0
I allow my boss to access my computer . , I have some private files . , he will find something that I don't want him to see . ,0
I allow my boss to access my computer . , my computer is full of confidential files . , he will find something that I don't want him to see . ,0
I allow my boss to access my computer . , my computer is full of my personal stuff . , he will find something that I don't want him to see . ,0
I allow my boss to access my computer . , I have nothing to hide from him . , he will read my work emails . ,0
The principal allowed the seniors access to the roof . , the school strictly forbids students from going to the roof . , I will get in trouble . ,0
The principal allowed the seniors access to the roof . , I'm not a senior . , I will get in trouble . ,0
The principal allowed the seniors access to the roof . , I'm not supposed to go to the roof . , I will get in trouble . ,0
The principal allowed the seniors access to the roof . , they are allowed . , they will jump off . ,0
The principal allowed the seniors access to the roof . , they have been causing trouble lately . , they will jump off . ,0
The principal allowed the seniors access to the roof . , she didn't say not to . , they will jump off . ,0
The principal allowed the seniors access to the roof . , people were climbing and running on the slippery roof . , someone is going to get hurt . ,0
The principal allowed the seniors access to the roof . , it's so dangerous up there . , someone is going to get hurt . ,0
The principal allowed the seniors access to the roof . , there's no guard rail . , someone is going to get hurt . ,0
My boss is not allowing me access to the company credit card . , I need the company credit card to complete many of the tasks required of me . , I will be unable to do my job . ,0
My boss is not allowing me access to the company credit card . , I need the credit card to buy supplies for the office . , I will be unable to do my job . ,0
My boss is not allowing me access to the company credit card . , I need it to buy the plane tickets . , I will have to pay for the trip out of my own pocket . ,0
My boss is not allowing me access to the company credit card . , I have no other way to pay for it . , I will have to pay for the trip out of my own pocket . ,0
My boss is not allowing me access to the company credit card . , I don't have another way to pay for them . , I will not get reimbursed for work expenses . ,0
My boss is not allowing me access to the company credit card . , I have to pay out of pocket . , I will not get reimbursed for work expenses . ,0
My boss is not allowing me access to the company credit card . , this will be a headache for me . , I will have to pay for work expenses out of my own pocket . ,0
My boss is not allowing me access to the company credit card . , I need access to the company credit card to do my job  . , I will have to pay for work expenses out of my own pocket . ,0
My boss is not allowing me access to the company credit card . , I need the card to do my job . , I will have to pay for work expenses out of my own pocket . ,0
My boss is not allowing me access to the company credit card . , I can't prove my worth to the company . , I will never get a raise . ,0
My boss is not allowing me access to the company credit card . , I can't prove my trustworthiness . , I will never get a raise . ,0
My boss is not allowing me access to the company credit card . , he's never been openness about money matters . , I will never get a raise . ,0
My dad allowed me to keep the dog . , the dog needs a lot of exercise . , I have to walk him every day . ,0
My dad allowed me to keep the dog . , I am the one who asked to keep him . , I have to walk him every day . ,0
My dad allowed me to keep the dog . , I'm the one who wanted the dog in the first place . , I have to walk him every day . ,0
My dad allowed me to keep the dog . , It will be my responsibility . , I will have to clean up the mess . ,0
My dad allowed me to keep the dog . , I am the one who wanted the dog . , I will have to clean up the mess . ,0
My dad allowed me to keep the dog . , I wanted a dog . , I will be responsible for  all the mess he will make . ,0
My dad allowed me to keep the dog . , I'm the one who asked for him . , I will be responsible for  all the mess he will make . ,0
My dad allowed me to keep the dog . , he never wanted a dog in the first place . , he will get bored of it . ,0
My dad allowed me to keep the dog . , I am not good at taking care of pets . , it will die soon . ,0
My dad allowed me to keep the dog . , we never had a pet in our house before . , it will die soon . ,0
My dad allowed me to keep the dog . , I'm not taking good care of it . , it will die soon . ,0
My boss allows me to keep the company dog in my office . , he never goes to the bathroom outside . , the dog will have an accident on the carpet . ,0
My boss allows me to keep the company dog in my office . , he is still a puppy . , the dog will have an accident on the carpet . ,0
My boss allows me to keep the company dog in my office . , she is not trained yet . , the dog will have an accident on the carpet . ,0
My boss allows me to keep the company dog in my office . , I will be busy with work . , I will have to take her outside every hour . ,0
My boss allows me to keep the company dog in my office . , she is a puppy . , I will have to take her outside every hour . ,0
My boss allows me to keep the company dog in my office . , she is a very hairy dog . , someone will be allergic to her . ,0
My boss allows me to keep the company dog in my office . , they're afraid of dogs . , someone will be allergic to her . ,0
My boss allows me to keep the company dog in my office . , they are allergic to dogs . , someone will be allergic to her . ,0
My boss allows me to keep the company dog in my office . , the dog is very hyper . , the dog will make too much noise . ,0
My boss allows me to keep the company dog in my office . , he is very active . , the dog will make too much noise . ,0
My boss allows me to keep the company dog in my office . , he barks at every person who walks by . , the dog will make too much noise . ,0
My boss allows me to keep the company dog in my office . , the dog is so adorable . , he or she will never want me to get rid of the dog . ,0
My boss allows me to keep the company dog in my office . , the dog is very well-behaved . , he or she will never want me to get rid of the dog . ,0
My boss allows me to keep my dog in my office . , some people are allergic to dogs . , I will be judged . ,0
My boss allows me to keep my dog in my office . , not everyone is a dog-lover . , I will be judged . ,0
My boss allows me to keep my dog in my office . , I have never had a dog before . , I will be distracted by her . ,0
My boss allows me to keep my dog in my office . , I will be worrying about her instead of working . , I will be distracted by her . ,0
My boss allows me to keep my dog in my office . , I will have to take care of her . , I will be distracted by her . ,0
My boss allows me to keep my dog in my office . , I'm the only one who can take care of her . , I will have to take her to the vet every time she gets sick . ,0
My boss allows me to keep my dog in my office . , I will be responsible for her . , I will have to take her to the vet every time she gets sick . ,0
My boss allows me to keep my dog in my office . , it has never been in an office before . , it will bark and bother others . ,0
My boss allows me to keep my dog in my office . , it's not used to being around many people . , it will bark and bother others . ,0
My boss allows me to keep my dog in my office . , it is not used to being in that environment . , it will bark and bother others . ,0
My boss allows me to keep my dog in my office . , he ruins everything . , I may have to get rid of my dog . ,0
My boss allows me to keep my dog in my office . , my boss is allergic to animals . , I may have to get rid of my dog . ,0
"After the divorce, I allowed my ex to keep the dog . ", I never see her again . , I will never see her again . ,0
"After the divorce, I allowed my ex to keep the dog . ", I was really angry with her . , I will never see her again . ,0
"After the divorce, I allowed my ex to keep the dog . ", she was always with the dog . , I will never see her again . ,0
"After the divorce, I allowed my ex to keep the dog . ", he lives in another state . , I will never see my dog again . ,0
"After the divorce, I allowed my ex to keep the dog . ", I live in a different state . , I will never see my dog again . ,0
"After the divorce, I allowed my ex to keep the dog . ", I am not there to take care of him . , the dog may get sick and die . ,0
"After the divorce, I allowed my ex to keep the dog . ", I never see her taking it on walks or feeding it  . , the dog may get sick and die . ,0
"After the divorce, I allowed my ex to keep the dog . ", my ex does not care for animals . , the dog may get sick and die . ,0
My boss always tells me that I need to improve my writing skills . , my writing skills are not good . , I will be fired . ,0
My boss always tells me that I need to improve my writing skills . , I have never been told that before . , my writing skills are not good enough . ,0
My boss always tells me that I need to improve my writing skills . , I  haven't received any formal training . , my writing skills are not good enough . ,0
My boss always tells me that I need to improve my writing skills . , my boss is always criticizing me . , I am not a good writer . ,0
My boss always tells me that I need to improve my writing skills . , I have never been good at writing . , I am not a good writer . ,0
My boss always tells me that I need to improve my writing skills . , I can't seem to improve no matter how much I practice . , I am not a good writer . ,0
My boss always tells me that I need to improve my writing skills . , my skills are not good enough . , I will never be a good writer . ,0
My boss always tells me that I need to improve my writing skills . , I am not good at writing . , I will never be a good writer . ,0
My dad always told me to never give up on my dreams . , I'm not talented enough . , I will not be able to achieve them . ,0
My dad always told me to never give up on my dreams . , they seem impossible . , I will not be able to achieve them . ,0
My dad always told me to never give up on my dreams . , they're impossible . , I will never achieve any of them . ,0
My dad always told me to never give up on my dreams . , I will not try hard enough . , I will not achieve anything . ,0
My dad always told me to never give up on my dreams . , it is difficult to accomplish dreams . , I will not achieve anything . ,0
My dad always told me to never give up on my dreams . , I will always fail . , I will not achieve anything . ,0
My dad always told me to never give up on my dreams . , he's  working  at  a  job  he hates  . , he may have given up on his . ,0
My dad always told me to never give up on my dreams . , he's a janitor . , he may have given up on his . ,0
My dad always told me to never give up on my dreams . , I am not good enough . , I will never make my dreams come true . ,0
My dad always told me to never give up on my dreams . , my dad is not around to encourage me anymore . , I will never make my dreams come true . ,0
My dad always told me that I should travel while I'm young . , I just graduated from college . , I will not have enough money . ,0
My dad always told me that I should travel while I'm young . , travel is expensive . , I will not have enough money . ,0
My dad always told me that I should travel while I'm young . , I'm too old . , now I will never be able to go . ,0
My dad always told me that I should travel while I'm young . , I can't travel alone . , now I will never be able to go . ,0
My dad always told me that I should travel while I'm young . , I have no money . , now I will never be able to go . ,0
My dad always told me that I should travel while I'm young . , I waited too long and now I'm too old . , I will regret not doing it sooner . ,0
My dad always told me that I should travel while I'm young . , I will have more opportunities to travel now . , I will regret not doing it sooner . ,0
My dad always told me that I should travel while I'm young . , I have a family and a mortgage . , I'm too old to travel now . ,0
My dad always told me that I should travel while I'm young . , I didn't travel when I was young . , I'm too old to travel now . ,0
My dad always told me that I should travel while I'm young . , I'm 31 years old . , I'm too old to travel now . ,0
My dad always told me that I should travel while I'm young . , he never got to travel when he was young . , he wanted me to travel with him . ,0
My dad always told me that I should travel while I'm young . , I'm his only child . , he wanted me to travel with him . ,0
I always told my friends that I would never get married . , no man is good enough for me . , I will be single forever . ,0
I always told my friends that I would never get married . , I don't want to get married . , I will be single forever . ,0
I always told my friends that I would never get married . , no one wants to marry me . , I will be single forever . ,0
I always told my friends that I would never get married . , I am not open to the idea of marriage . , I will not find love . ,0
I always told my friends that I would never get married . , I didn't want it . , I will not find love . ,0
I always told my friends that I would never get married . , I have too much doubt in my heart . , I will not find love . ,0
I always told my friends that I would never get married . , no one wants to marry me . , I will be alone forever . ,0
I always told my friends that I would never get married . , they are in happy relationships . , they may get married before me . ,0
I always told my friends that I would never get married . , I'm not sure about what I want in the future . , they may get married before me . ,0
I always told my friends that I would never get married . , I might change my mind . , they may get married before me . ,0
I Amend the phone service contract . , the company recently raised their prices . , I will have to pay a higher monthly bill . ,0
I Amend the phone service contract . , the service is not good . , I will have to pay a higher monthly bill . ,0
I Amend the phone service contract . , the contract has been changed . , I will have to pay a higher monthly bill . ,0
I Amend the phone service contract . , the contract is almost over . , I will have to pay a lot of money . ,0
I Amend the phone service contract . , the  original contract is not good . , I will have to pay a lot of money . ,0
I Amend the phone service contract . , the phone is old . , I will have to pay a lot of money . ,0
I Amend the phone service contract . , the  service  is  not  good . , I will be canceled . ,0
I Amend the phone service contract . , I  have not paid the bill for 2 months  . , I will be canceled . ,0
I Amend the phone service contract . , the service is too poor  . , I will be canceled . ,0
I Amend the phone service contract . , the company doesn't have good reviews . , the customer service will be terrible . ,0
I Amend the phone service contract . , I had a lot of trouble the last time I amended the contract . , the customer service will be terrible . ,0
I Amend the phone service contract . , the company needs to make more money . , the charges will go up . ,0
I Amend the phone service contract . , the contract is about to expire . , the charges will go up . ,0
I try to amend an act that my boss put into place that I do not agree with . , I haven't been with the company for very long . , he will see me as insubordinate . ,0
I try to amend an act that my boss put into place that I do not agree with . , I will be going against what he asked me to do . , he will see me as insubordinate . ,0
I try to amend an act that my boss put into place that I do not agree with . , I will be going against what he already decided . , he will see me as a problem . ,0
I try to amend an act that my boss put into place that I do not agree with . , he is very stubborn . , he will see me as a problem . ,0
I try to amend an act that my boss put into place that I do not agree with . , I will be going against him . , he will see me as a problem . ,0
I try to amend an act that my boss put into place that I do not agree with . , he  always  disregards  my  opinion . , he will not listen to me . ,0
I try to amend an act that my boss put into place that I do not agree with . , he always has the final say . , he will not listen to me . ,0
I try to amend an act that my boss put into place that I do not agree with . , he is always right . , he will not listen to me . ,0
I try to amend an act that my boss put into place that I do not agree with . , I am new to the company . , he will think I am undermining him . ,0
I try to amend an act that my boss put into place that I do not agree with . , I am new  . , he will think I am undermining him . ,0
I try to amend an act that my boss put into place that I do not agree with . , I am new . , he may think I am trying to undermine his authority . ,0
I try to amend an act that my boss put into place that I do not agree with . , I am new to the company . , he may think I am trying to undermine his authority . ,0
I try to amend an act that my boss put into place that I do not agree with . , I am new to the job . , he may think I am trying to undermine his authority . ,0
I am going to amend my will . , I have not been feeling well . , I will not live much longer . ,0
I am going to amend my will . , I have been feeling unwell recently . , I will not live much longer . ,0
I am going to amend my will . , I am  very old . , I will not live much longer . ,0
I am going to amend my will . , I am very old . , I will die soon . ,0
I am going to amend my will . , it would be complicated  . , people will not understand my decision . ,0
I am going to amend my will . , it will be very complicated  . , people will not understand my decision . ,0
I am going to amend my will . , I have not talked about it with anyone . , people will not understand my decision . ,0
I am going to amend my will . , I will give my money to charity . , my son will be disappointed . ,0
I am going to amend my will . , I will  leave him less money than my daughter . , my son will be disappointed . ,0
I answer my boss's question about the progress of my project . , I am still not sure about the project's progress . , my response is not good enough . ,0
I answer my boss's question about the progress of my project . , I am not confident . , my response is not good enough . ,0
I answer my boss's question about the progress of my project . , I have not made enough progress . , my response is not good enough . ,0
I answer my boss's question about the progress of my project . , I am not confident . , my answer is not good enough . ,0
I answer my boss's question about the progress of my project . , I haven't made much progress . , my answer is not good enough . ,0
I answer my boss's question about the progress of my project . , I am not confident with my work . , my answer is not good enough . ,0
I answer my boss's question about the progress of my project . , I have not made much progress . , he will not be satisfied with what I have accomplished . ,0
I answer my boss's question about the progress of my project . , I have not met the deadline . , he will not be satisfied with what I have accomplished . ,0
I answer my boss's question about the progress of my project . , I have not done as much as I had hoped . , he will not be satisfied with what I have accomplished . ,0
I answer my boss's question about the progress of my project . , I have been procrastinating . , I will never finish it on time . ,0
I answer my boss's question about the progress of my project . , it's so behind schedule . , I will never finish it on time . ,0
I answer my boss's question about the progress of my project . , I have fallen behind . , I will never finish it on time . ,0
I answer my boss's question about the progress of my project . , I haven't made much progress . , he will be disappointed with my answer . ,0
I was on Quora the other day and answered a few questions on programming . , I am not an expert on programming . , my mistakes will be found out . ,0
I was on Quora the other day and answered a few questions on programming . , I am not an expert on the subject . , my mistakes will be found out . ,0
I was on Quora the other day and answered a few questions on programming . , I am not an expert in programming . , my mistakes will be found out . ,0
I was on Quora the other day and answered a few questions on programming . , I'm not an expert on the subject . , my answers were not good enough . ,0
I was on Quora the other day and answered a few questions on programming . , they think I'm not credible . , people will downvote my answers . ,0
I was on Quora the other day and answered a few questions on programming . , I am not an expert in the field . , people will downvote my answers . ,0
I was on Quora the other day and answered a few questions on programming . , I'm not a professional programmer . , I'm not good enough . ,0
I was on Quora the other day and answered a few questions on programming . , I haven't had  professional experience in the field . , I'm not good enough . ,0
I was on Quora the other day and answered a few questions on programming . , I'm not a computer science major . , I'm not good enough . ,0
I was on Quora the other day and answered a few questions on programming . , I am not good at programming . , I should have been doing other things . ,0
I was on Quora the other day and answered a few questions on programming . , it's a waste of time . , I should have been doing other things . ,0
I was on Quora the other day and answered a few questions on programming . , I'm not a programmer . , I should have been doing other things . ,0
The teacher answered the student's question . , my question is too easy . , I will be laughed at . ,0
The teacher answered the student's question . , my answer is wrong . , I will be laughed at . ,0
The teacher answered the student's question . , I don't know the answer . , I will be laughed at . ,0
The teacher answered the student's question . , the student has not learnt well . , I will be blamed . ,0
The teacher answered the student's question . , the answer is wrong . , I will be blamed . ,0
The teacher answered the student's question . , I don't know the answer . , I will be embarrassed . ,0
The teacher answered the student's question . , the student looked confused . , the answer was wrong . ,0
The teacher answered the student's question . , the answer was not what I expected . , the answer was wrong . ,0
The teacher answered the student's question . , the teacher was not very sure . , the answer was wrong . ,0
The teacher answered the student's question . , the question was too simple . , I will never get the answer to my question . ,0
The teacher answered the student's question . , the teacher looks very busy . , I will never get the answer to my question . ,0
The teacher answered the student's question . , the teacher is terrible at teaching . , I will never get the answer to my question . ,0
I was in class when the teacher called on me . , I didn't know the answer . , I will give the wrong answer . ,0
I was in class when the teacher called on me . , I didn't do the reading . , I will not know the answer . ,0
I was in class when the teacher called on me . , I didn't pay attention in class . , I will not know the answer . ,0
I was in class when the teacher called on me . , I didn't do the reading . , I didn't know the answer . ,0
I was in class when the teacher called on me . , I didn't listen to the lecture . , I didn't know the answer . ,0
I will appear for my interview tomorrow . , I am not confident . , I will fail . ,0
I will appear for my interview tomorrow . , I am not prepared . , I will not be able to speak confidently . ,0
I will appear for my interview tomorrow . , I am not confident . , I will not get selected . ,0
I will appear for my interview tomorrow . , I am not  qualified  enough . , I will not get the job . ,0
I will appear for my interview tomorrow . , I am not confident . , I will not get the job . ,0
I will appear for my interview tomorrow . , I am unprepared . , I will not get the job . ,0
I will appear for my interview tomorrow . , I am not confident . , I will not be able to clear it . ,0
I appear among a group of people who are discussing the new company project . , I am  the newest member of the company . , my ideas will be rejected . ,0
I appear among a group of people who are discussing the new company project . , I'm new in the company . , my ideas will be rejected . ,0
I appear among a group of people who are discussing the new company project . , I didn't know about the project . , I will not understand the discussion . ,0
I appear among a group of people who are discussing the new company project . , I am new in the company . , my ideas are not good enough . ,0
I appear on stage with my band mates to the screaming of the audience . , I'm not used to performing in front of large crowds . , I will make a fool of myself . ,0
I appear on stage with my band mates to the screaming of the audience . , I have been getting static from it all day . , my guitar will not work . ,0
I appear on stage with my band mates to the screaming of the audience . , I  changed the strings this morning . , my guitar will not work . ,0
I appear on stage with my band mates to the screaming of the audience . , I forgot to change the battery . , my guitar will not work . ,0
I appear on stage with my band mates to the screaming of the audience . , I  didn't tune my guitar properly . , my guitar strings will snap . ,0
